pattern,eat,absorbPartsNum,Time-consuming
decay,0.35,0,26.40000000000004
decay,0.35,0,26.700000000000042
decay,0.35,0,27.000000000000043
decay,0.35,0,27.300000000000043
decay,0.35,0,27.600000000000044
decay,0.35,0,27.900000000000045
decay,0.35,0,28.200000000000045
decay,0.35,0,28.500000000000046
decay,0.35,0,28.800000000000047
decay,0.35,0,29.100000000000048
decay,0.35,0,29.40000000000005
decay,0.35,0,29.70000000000005
decay,0.35,0,30.00000000000005
decay,0.35,0,30.30000000000005
decay,0.35,0,0.0
decay,0.35,0,0.3
decay,0.35,0,0.6
decay,0.35,0,0.8999999999999999
decay,0.35,0,1.2
decay,0.35,0,1.5
decay,0.35,0,1.8
decay,0.35,0,2.1
decay,0.35,0,2.4
decay,0.35,0,2.6999999999999997
decay,0.35,0,2.9999999999999996
decay,0.35,0,3.2999999999999994
decay,0.35,0,3.599999999999999
decay,0.35,0,3.899999999999999
decay,0.35,0,4.199999999999999
decay,0.35,0,4.499999999999999
decay,0.35,0,4.799999999999999
decay,0.35,0,5.099999999999999
decay,0.35,0,5.399999999999999
decay,0.35,0,5.699999999999998
decay,0.35,0,5.999999999999998
decay,0.35,0,6.299999999999998
decay,0.35,0,6.599999999999998
decay,0.35,0,6.899999999999998
decay,0.35,0,7.1999999999999975
decay,0.35,0,7.499999999999997
decay,0.35,0,7.799999999999997
decay,0.35,0,8.099999999999998
decay,0.35,0,8.399999999999999
decay,0.35,0,8.7
decay,0.35,0,9.0
decay,0.35,0,9.3
decay,0.35,0,9.600000000000001
decay,0.35,0,9.900000000000002
decay,0.35,0,10.200000000000003
decay,0.35,0,10.500000000000004
decay,0.35,0,10.800000000000004
decay,0.35,0,11.100000000000005
decay,0.35,0,11.400000000000006
decay,0.35,0,11.700000000000006
decay,0.35,0,12.000000000000007
decay,0.35,0,12.300000000000008
decay,0.35,0,12.600000000000009
decay,0.35,0,12.90000000000001
decay,0.35,0,13.20000000000001
decay,0.35,0,13.50000000000001
decay,0.35,0,13.800000000000011
decay,0.35,0,14.100000000000012
decay,0.35,0,14.400000000000013
decay,0.35,0,14.700000000000014
decay,0.35,0,15.000000000000014
decay,0.35,0,15.300000000000015
decay,0.35,0,15.600000000000016
decay,0.35,0,15.900000000000016
decay,0.35,0,16.200000000000017
decay,0.35,0,16.500000000000018
decay,0.35,0,16.80000000000002
decay,0.35,0,17.10000000000002
decay,0.35,0,17.40000000000002
decay,0.35,0,17.70000000000002
decay,0.35,0,18.00000000000002
decay,0.35,0,18.300000000000022
decay,0.35,0,18.600000000000023
decay,0.35,0,18.900000000000023
decay,0.35,0,19.200000000000024
decay,0.35,0,19.500000000000025
decay,0.35,0,19.800000000000026
decay,0.35,0,20.100000000000026
decay,0.35,0,20.400000000000027
decay,0.35,0,20.700000000000028
decay,0.35,0,21.00000000000003
decay,0.35,0,21.30000000000003
decay,0.35,0,21.60000000000003
decay,0.35,0,21.90000000000003
decay,0.35,0,22.20000000000003
decay,0.35,0,22.500000000000032
decay,0.35,0,22.800000000000033
decay,0.35,0,23.100000000000033
decay,0.35,0,23.400000000000034
decay,0.35,0,23.700000000000035
decay,0.35,0,24.000000000000036
decay,0.35,0,24.300000000000036
decay,0.35,0,24.600000000000037
decay,0.35,0,24.900000000000038
decay,0.35,0,25.20000000000004
decay,0.35,0,25.50000000000004
decay,0.35,0,25.80000000000004
decay,0.35,0,26.10000000000004
decay,0.35,0,26.40000000000004
decay,0.35,0,26.700000000000042
decay,0.35,0,27.000000000000043
decay,0.35,0,27.300000000000043
decay,0.35,0,27.600000000000044
decay,0.35,0,27.900000000000045
decay,0.35,0,28.200000000000045
decay,0.35,0,28.500000000000046
decay,0.35,0,28.800000000000047
decay,0.35,0,29.100000000000048
decay,0.35,0,29.40000000000005
decay,0.35,0,29.70000000000005
decay,0.35,0,30.00000000000005
decay,0.35,0,30.30000000000005
decay,0.35,0,0.0
decay,0.35,0,0.3
decay,0.35,0,0.6
decay,0.35,0,0.8999999999999999
decay,0.35,0,1.2
decay,0.35,0,1.5
decay,0.35,0,1.8
decay,0.35,0,2.1
decay,0.35,0,2.4
decay,0.35,0,2.6999999999999997
decay,0.35,0,2.9999999999999996
decay,0.35,0,3.2999999999999994
decay,0.35,0,3.599999999999999
decay,0.35,0,3.899999999999999
decay,0.35,0,4.199999999999999
decay,0.35,0,4.499999999999999
decay,0.35,0,4.799999999999999
decay,0.35,0,5.099999999999999
decay,0.35,0,5.399999999999999
decay,0.35,0,5.699999999999998
decay,0.35,0,5.999999999999998
decay,0.35,0,6.299999999999998
decay,0.35,0,6.599999999999998
decay,0.35,0,6.899999999999998
decay,0.35,0,7.1999999999999975
decay,0.35,0,7.499999999999997
decay,0.35,0,7.799999999999997
decay,0.35,0,8.099999999999998
decay,0.35,0,8.399999999999999
decay,0.35,0,8.7
decay,0.35,0,9.0
decay,0.35,0,9.3
decay,0.35,0,9.600000000000001
decay,0.35,0,9.900000000000002
decay,0.35,0,10.200000000000003
decay,0.35,0,10.500000000000004
decay,0.35,0,10.800000000000004
decay,0.35,0,11.100000000000005
decay,0.35,0,11.400000000000006
decay,0.35,0,11.700000000000006
decay,0.35,0,12.000000000000007
decay,0.35,0,12.300000000000008
decay,0.35,0,12.600000000000009
decay,0.35,0,12.90000000000001
decay,0.35,0,13.20000000000001
decay,0.35,0,13.50000000000001
decay,0.35,0,13.800000000000011
decay,0.35,0,14.100000000000012
decay,0.35,0,14.400000000000013
decay,0.35,0,14.700000000000014
decay,0.35,0,15.000000000000014
decay,0.35,0,15.300000000000015
decay,0.35,0,15.600000000000016
decay,0.35,0,15.900000000000016
decay,0.35,0,16.200000000000017
decay,0.35,0,16.500000000000018
decay,0.35,0,16.80000000000002
decay,0.35,0,17.10000000000002
decay,0.35,0,17.40000000000002
decay,0.35,0,17.70000000000002
decay,0.35,0,18.00000000000002
decay,0.35,0,18.300000000000022
decay,0.35,0,18.600000000000023
decay,0.35,0,18.900000000000023
decay,0.35,0,19.200000000000024
decay,0.35,0,19.500000000000025
decay,0.35,0,19.800000000000026
decay,0.35,0,20.100000000000026
decay,0.35,0,20.400000000000027
decay,0.35,0,20.700000000000028
decay,0.35,0,21.00000000000003
decay,0.35,0,21.30000000000003
decay,0.35,0,21.60000000000003
decay,0.35,0,21.90000000000003
decay,0.35,0,22.20000000000003
decay,0.35,0,22.500000000000032
decay,0.35,0,22.800000000000033
decay,0.35,0,23.100000000000033
decay,0.35,0,23.400000000000034
decay,0.35,0,23.700000000000035
decay,0.35,0,24.000000000000036
decay,0.35,0,24.300000000000036
decay,0.35,0,24.600000000000037
decay,0.35,0,24.900000000000038
decay,0.35,0,25.20000000000004
decay,0.35,0,25.50000000000004
decay,0.35,0,25.80000000000004
decay,0.35,0,26.10000000000004
decay,0.35,0,26.40000000000004
decay,0.35,0,26.700000000000042
decay,0.35,0,27.000000000000043
decay,0.35,0,27.300000000000043
decay,0.35,0,27.600000000000044
decay,0.35,0,27.900000000000045
decay,0.35,0,28.200000000000045
decay,0.35,0,28.500000000000046
decay,0.35,0,28.800000000000047
decay,0.35,0,29.100000000000048
decay,0.35,0,29.40000000000005
decay,0.35,0,29.70000000000005
decay,0.35,0,30.00000000000005
decay,0.35,0,30.30000000000005
decay,0.35,0,0.0
decay,0.35,0,0.3
decay,0.35,0,0.6
decay,0.35,0,0.8999999999999999
decay,0.35,0,1.2
decay,0.35,0,1.5
decay,0.35,0,1.8
decay,0.35,0,2.1
decay,0.35,0,2.4
decay,0.35,0,2.6999999999999997
decay,0.35,0,2.9999999999999996
decay,0.35,0,3.2999999999999994
decay,0.35,0,3.599999999999999
decay,0.35,0,3.899999999999999
decay,0.35,0,4.199999999999999
decay,0.35,0,4.499999999999999
decay,0.35,0,4.799999999999999
decay,0.35,0,5.099999999999999
decay,0.35,0,5.399999999999999
decay,0.35,0,5.699999999999998
decay,0.35,0,5.999999999999998
decay,0.35,0,6.299999999999998
decay,0.35,0,6.599999999999998
decay,0.35,0,6.899999999999998
decay,0.35,0,7.1999999999999975
decay,0.35,0,7.499999999999997
decay,0.35,0,7.799999999999997
decay,0.35,0,8.099999999999998
decay,0.35,0,8.399999999999999
decay,0.35,0,8.7
decay,0.35,0,9.0
decay,0.35,0,9.3
decay,0.35,0,9.600000000000001
decay,0.35,0,9.900000000000002
decay,0.35,0,10.200000000000003
decay,0.35,0,10.500000000000004
decay,0.35,0,10.800000000000004
decay,0.35,0,11.100000000000005
decay,0.35,0,11.400000000000006
decay,0.35,0,11.700000000000006
decay,0.35,0,12.000000000000007
decay,0.35,0,12.300000000000008
decay,0.35,0,12.600000000000009
decay,0.35,0,12.90000000000001
decay,0.35,0,13.20000000000001
decay,0.35,0,13.50000000000001
decay,0.35,0,13.800000000000011
decay,0.35,0,14.100000000000012
decay,0.35,0,14.400000000000013
decay,0.35,0,14.700000000000014
decay,0.35,0,15.000000000000014
decay,0.35,0,15.300000000000015
decay,0.35,0,15.600000000000016
decay,0.35,0,15.900000000000016
decay,0.35,0,16.200000000000017
decay,0.35,0,16.500000000000018
decay,0.35,0,16.80000000000002
decay,0.35,0,17.10000000000002
decay,0.35,0,17.40000000000002
decay,0.35,0,17.70000000000002
decay,0.35,0,18.00000000000002
decay,0.35,0,18.300000000000022
decay,0.35,0,18.600000000000023
decay,0.35,0,18.900000000000023
decay,0.35,0,19.200000000000024
decay,0.35,0,19.500000000000025
decay,0.35,0,19.800000000000026
decay,0.35,0,20.100000000000026
decay,0.35,0,20.400000000000027
decay,0.35,0,20.700000000000028
decay,0.35,0,21.00000000000003
decay,0.35,0,21.30000000000003
decay,0.35,0,21.60000000000003
decay,0.35,0,21.90000000000003
decay,0.35,0,22.20000000000003
decay,0.35,0,22.500000000000032
decay,0.35,0,22.800000000000033
decay,0.35,0,23.100000000000033
decay,0.35,0,23.400000000000034
decay,0.35,0,23.700000000000035
decay,0.35,0,24.000000000000036
decay,0.35,0,24.300000000000036
decay,0.35,0,24.600000000000037
decay,0.35,0,24.900000000000038
decay,0.35,0,25.20000000000004
decay,0.35,0,25.50000000000004
decay,0.35,0,25.80000000000004
decay,0.35,0,26.10000000000004
decay,0.35,0,26.40000000000004
decay,0.35,0,26.700000000000042
decay,0.35,0,27.000000000000043
decay,0.35,0,27.300000000000043
decay,0.35,0,27.600000000000044
decay,0.35,0,27.900000000000045
decay,0.35,0,28.200000000000045
decay,0.35,0,28.500000000000046
decay,0.35,0,28.800000000000047
decay,0.35,0,29.100000000000048
decay,0.35,0,29.40000000000005
decay,0.35,0,29.70000000000005
decay,0.35,0,30.00000000000005
decay,0.35,0,30.30000000000005
decay,0.35,0,0.0
decay,0.35,0,0.3
decay,0.35,0,0.6
decay,0.35,0,0.8999999999999999
decay,0.35,0,1.2
decay,0.35,0,1.5
decay,0.35,0,1.8
decay,0.35,0,2.1
decay,0.35,0,2.4
decay,0.35,0,2.6999999999999997
decay,0.35,0,2.9999999999999996
decay,0.35,0,3.2999999999999994
decay,0.35,0,3.599999999999999
decay,0.35,0,3.899999999999999
decay,0.35,0,4.199999999999999
decay,0.35,0,4.499999999999999
decay,0.35,0,4.799999999999999
decay,0.35,0,5.099999999999999
decay,0.35,0,5.399999999999999
decay,0.35,0,5.699999999999998
decay,0.35,0,5.999999999999998
decay,0.35,0,6.299999999999998
decay,0.35,0,6.599999999999998
decay,0.35,0,6.899999999999998
decay,0.35,0,7.1999999999999975
decay,0.35,0,7.499999999999997
decay,0.35,0,7.799999999999997
decay,0.35,0,8.099999999999998
decay,0.35,0,8.399999999999999
decay,0.35,0,8.7
decay,0.35,0,9.0
decay,0.35,0,9.3
decay,0.35,0,9.600000000000001
decay,0.35,0,9.900000000000002
decay,0.35,0,10.200000000000003
decay,0.35,0,10.500000000000004
decay,0.35,0,10.800000000000004
decay,0.35,0,11.100000000000005
decay,0.35,0,11.400000000000006
decay,0.35,0,11.700000000000006
decay,0.35,0,12.000000000000007
decay,0.35,0,12.300000000000008
decay,0.35,0,12.600000000000009
decay,0.35,0,12.90000000000001
decay,0.35,0,13.20000000000001
decay,0.35,0,13.50000000000001
decay,0.35,0,13.800000000000011
decay,0.35,0,14.100000000000012
decay,0.35,0,14.400000000000013
decay,0.35,0,14.700000000000014
decay,0.35,0,15.000000000000014
decay,0.35,0,15.300000000000015
decay,0.35,0,15.600000000000016
decay,0.35,0,15.900000000000016
decay,0.35,0,16.200000000000017
decay,0.35,0,16.500000000000018
decay,0.35,0,16.80000000000002
decay,0.35,0,17.10000000000002
decay,0.35,0,17.40000000000002
decay,0.35,0,17.70000000000002
decay,0.35,0,18.00000000000002
decay,0.35,0,18.300000000000022
decay,0.35,0,18.600000000000023
decay,0.35,0,18.900000000000023
decay,0.35,0,19.200000000000024
decay,0.35,0,19.500000000000025
decay,0.35,0,19.800000000000026
decay,0.35,0,20.100000000000026
decay,0.35,0,20.400000000000027
decay,0.35,0,20.700000000000028
decay,0.35,0,21.00000000000003
decay,0.35,0,21.30000000000003
decay,0.35,0,21.60000000000003
decay,0.35,0,21.90000000000003
decay,0.35,0,22.20000000000003
decay,0.35,0,22.500000000000032
decay,0.35,0,22.800000000000033
decay,0.35,0,23.100000000000033
decay,0.35,0,23.400000000000034
decay,0.35,0,23.700000000000035
decay,0.35,0,24.000000000000036
decay,0.35,0,24.300000000000036
decay,0.35,0,24.600000000000037
decay,0.35,0,24.900000000000038
decay,0.35,0,25.20000000000004
decay,0.35,0,25.50000000000004
decay,0.35,0,25.80000000000004
decay,0.35,0,26.10000000000004
decay,0.35,0,26.40000000000004
decay,0.35,0,26.700000000000042
decay,0.35,0,27.000000000000043
decay,0.35,0,27.300000000000043
decay,0.35,0,27.600000000000044
decay,0.35,0,27.900000000000045
decay,0.35,0,28.200000000000045
decay,0.35,0,28.500000000000046
decay,0.35,0,28.800000000000047
decay,0.35,0,29.100000000000048
decay,0.35,0,29.40000000000005
decay,0.35,0,29.70000000000005
decay,0.35,0,30.00000000000005
decay,0.35,0,30.30000000000005
decay,0.35,0,0.0
decay,0.35,0,0.3
decay,0.35,0,0.6
decay,0.35,0,0.8999999999999999
decay,0.35,0,1.2
decay,0.35,0,1.5
decay,0.35,0,1.8
decay,0.35,0,2.1
decay,0.35,0,2.4
decay,0.35,0,2.6999999999999997
decay,0.35,0,2.9999999999999996
decay,0.35,0,3.2999999999999994
decay,0.35,0,3.599999999999999
decay,0.35,0,3.899999999999999
decay,0.35,0,4.199999999999999
decay,0.35,0,4.499999999999999
decay,0.35,0,4.799999999999999
decay,0.35,0,5.099999999999999
decay,0.35,0,5.399999999999999
decay,0.35,0,5.699999999999998
decay,0.35,0,5.999999999999998
decay,0.35,0,6.299999999999998
decay,0.35,0,6.599999999999998
decay,0.35,0,6.899999999999998
decay,0.35,0,7.1999999999999975
decay,0.35,0,7.499999999999997
decay,0.35,0,7.799999999999997
decay,0.35,0,8.099999999999998
decay,0.35,0,8.399999999999999
decay,0.35,0,8.7
decay,0.35,0,9.0
decay,0.35,0,9.3
decay,0.35,0,9.600000000000001
decay,0.35,0,9.900000000000002
decay,0.35,0,10.200000000000003
decay,0.35,0,10.500000000000004
decay,0.35,0,10.800000000000004
decay,0.35,0,11.100000000000005
decay,0.35,0,11.400000000000006
decay,0.35,0,11.700000000000006
decay,0.35,0,12.000000000000007
decay,0.35,0,12.300000000000008
decay,0.35,0,12.600000000000009
decay,0.35,0,12.90000000000001
decay,0.35,0,13.20000000000001
decay,0.35,0,13.50000000000001
decay,0.35,0,13.800000000000011
decay,0.35,0,14.100000000000012
decay,0.35,0,14.400000000000013
decay,0.35,0,14.700000000000014
decay,0.35,0,15.000000000000014
decay,0.35,0,15.300000000000015
decay,0.35,0,15.600000000000016
decay,0.35,0,15.900000000000016
decay,0.35,0,16.200000000000017
decay,0.35,0,16.500000000000018
decay,0.35,0,16.80000000000002
decay,0.35,0,17.10000000000002
decay,0.35,0,17.40000000000002
decay,0.35,0,17.70000000000002
decay,0.35,0,18.00000000000002
decay,0.35,0,18.300000000000022
decay,0.35,0,18.600000000000023
decay,0.35,0,18.900000000000023
decay,0.35,0,19.200000000000024
decay,0.35,0,19.500000000000025
decay,0.35,0,19.800000000000026
decay,0.35,0,20.100000000000026
decay,0.35,0,20.400000000000027
decay,0.35,0,20.700000000000028
decay,0.35,0,21.00000000000003
decay,0.35,0,21.30000000000003
decay,0.35,0,21.60000000000003
decay,0.35,0,21.90000000000003
decay,0.35,0,22.20000000000003
decay,0.35,0,22.500000000000032
decay,0.35,0,22.800000000000033
decay,0.35,0,23.100000000000033
decay,0.35,0,23.400000000000034
decay,0.35,0,23.700000000000035
decay,0.35,0,24.000000000000036
decay,0.35,0,24.300000000000036
decay,0.35,0,24.600000000000037
decay,0.35,0,24.900000000000038
decay,0.35,0,25.20000000000004
decay,0.35,0,25.50000000000004
decay,0.35,0,25.80000000000004
decay,0.35,0,26.10000000000004
decay,0.35,0,26.40000000000004
decay,0.35,0,26.700000000000042
decay,0.35,0,27.000000000000043
decay,0.35,0,27.300000000000043
decay,0.35,0,27.600000000000044
decay,0.35,0,27.900000000000045
decay,0.35,0,28.200000000000045
decay,0.35,0,28.500000000000046
decay,0.35,0,28.800000000000047
decay,0.35,0,29.100000000000048
decay,0.35,0,29.40000000000005
decay,0.35,0,29.70000000000005
decay,0.35,0,30.00000000000005
decay,0.35,0,30.30000000000005
decay,0.39999999999999997,0,0.0
decay,0.39999999999999997,0,0.3
decay,0.39999999999999997,0,0.6
decay,0.39999999999999997,0,0.8999999999999999
decay,0.39999999999999997,0,1.2
decay,0.39999999999999997,0,1.5
decay,0.39999999999999997,0,1.8
decay,0.39999999999999997,0,2.1
decay,0.39999999999999997,0,2.4
decay,0.39999999999999997,0,2.6999999999999997
decay,0.39999999999999997,0,2.9999999999999996
decay,0.39999999999999997,0,3.2999999999999994
decay,0.39999999999999997,0,3.599999999999999
decay,0.39999999999999997,0,3.899999999999999
decay,0.39999999999999997,0,4.199999999999999
decay,0.39999999999999997,0,4.499999999999999
decay,0.39999999999999997,0,4.799999999999999
decay,0.39999999999999997,0,5.099999999999999
decay,0.39999999999999997,0,5.399999999999999
decay,0.39999999999999997,0,5.699999999999998
decay,0.39999999999999997,0,5.999999999999998
decay,0.39999999999999997,0,6.299999999999998
decay,0.39999999999999997,0,6.599999999999998
decay,0.39999999999999997,0,6.899999999999998
decay,0.39999999999999997,0,7.1999999999999975
decay,0.39999999999999997,0,7.499999999999997
decay,0.39999999999999997,0,7.799999999999997
decay,0.39999999999999997,0,8.099999999999998
decay,0.39999999999999997,0,8.399999999999999
decay,0.39999999999999997,0,8.7
decay,0.39999999999999997,0,9.0
decay,0.39999999999999997,0,9.3
decay,0.39999999999999997,0,9.600000000000001
decay,0.39999999999999997,0,9.900000000000002
decay,0.39999999999999997,0,10.200000000000003
decay,0.39999999999999997,0,10.500000000000004
decay,0.39999999999999997,0,10.800000000000004
decay,0.39999999999999997,0,11.100000000000005
decay,0.39999999999999997,0,11.400000000000006
decay,0.39999999999999997,0,11.700000000000006
decay,0.39999999999999997,0,12.000000000000007
decay,0.39999999999999997,0,12.300000000000008
decay,0.39999999999999997,0,12.600000000000009
decay,0.39999999999999997,0,12.90000000000001
decay,0.39999999999999997,0,13.20000000000001
decay,0.39999999999999997,0,13.50000000000001
decay,0.39999999999999997,0,13.800000000000011
decay,0.39999999999999997,0,14.100000000000012
decay,0.39999999999999997,0,14.400000000000013
decay,0.39999999999999997,0,14.700000000000014
decay,0.39999999999999997,0,15.000000000000014
decay,0.39999999999999997,0,15.300000000000015
decay,0.39999999999999997,0,15.600000000000016
decay,0.39999999999999997,0,15.900000000000016
decay,0.39999999999999997,0,16.200000000000017
decay,0.39999999999999997,0,16.500000000000018
decay,0.39999999999999997,0,16.80000000000002
decay,0.39999999999999997,0,17.10000000000002
decay,0.39999999999999997,0,17.40000000000002
decay,0.39999999999999997,0,17.70000000000002
decay,0.39999999999999997,0,18.00000000000002
decay,0.39999999999999997,0,18.300000000000022
decay,0.39999999999999997,0,18.600000000000023
decay,0.39999999999999997,0,18.900000000000023
decay,0.39999999999999997,0,19.200000000000024
decay,0.39999999999999997,0,19.500000000000025
decay,0.39999999999999997,0,19.800000000000026
decay,0.39999999999999997,0,20.100000000000026
decay,0.39999999999999997,0,20.400000000000027
decay,0.39999999999999997,0,20.700000000000028
decay,0.39999999999999997,0,21.00000000000003
decay,0.39999999999999997,0,21.30000000000003
decay,0.39999999999999997,0,21.60000000000003
decay,0.39999999999999997,0,21.90000000000003
decay,0.39999999999999997,0,22.20000000000003
decay,0.39999999999999997,0,22.500000000000032
decay,0.39999999999999997,0,22.800000000000033
decay,0.39999999999999997,0,23.100000000000033
decay,0.39999999999999997,0,23.400000000000034
decay,0.39999999999999997,0,23.700000000000035
decay,0.39999999999999997,0,24.000000000000036
decay,0.39999999999999997,0,24.300000000000036
decay,0.39999999999999997,0,24.600000000000037
decay,0.39999999999999997,0,24.900000000000038
decay,0.39999999999999997,0,25.20000000000004
decay,0.39999999999999997,0,25.50000000000004
decay,0.39999999999999997,0,25.80000000000004
decay,0.39999999999999997,0,26.10000000000004
decay,0.39999999999999997,0,26.40000000000004
decay,0.39999999999999997,0,26.700000000000042
decay,0.39999999999999997,0,27.000000000000043
decay,0.39999999999999997,0,27.300000000000043
decay,0.39999999999999997,0,27.600000000000044
decay,0.39999999999999997,0,27.900000000000045
decay,0.39999999999999997,0,28.200000000000045
decay,0.39999999999999997,0,28.500000000000046
decay,0.39999999999999997,0,28.800000000000047
decay,0.39999999999999997,0,29.100000000000048
